Ticker,Date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
 GOOD,2020-04-08 21:18:02.265594,-,-,-0.15,0.30%,39.27M,3.67%,532.50M,-,-0.16,13.65%,35.40M,-21.75%,-4.80M,-,-0.03,55.70%,0.90%,-35.67%,114.40M,4.65,-557.00%,-0.03%,1.10,-41.07%,6.55,2.07,-6.70%,-0.50%,21.20,-35.12%,0.17,78.31,6.00%,-2.00%,7.59 - 23.98,-37.97%,1.50,-,24.00%,4.10%,-43.45%,1.04,11.06%,-,9.20%,84.90%,78.66%,1.52,-,-,7.70%,29.90%,46.12,8.19% 14.70%,Yes,3.01,-77.20%,-4.20%,0.75,13.10,Yes,3.01,May 13 AMC,-,288.81K,13.56,1.70,8.30%,-22.35%,-35.73%,"216,977",3.51%
 GOODM,2020-04-08 21:18:11.107033,-,-,-0.16,-,28.99M,1.29%,560.91M,-,-,-,28.99M,-23.28%,-,-,-,23.05%,-,-25.52%,114.39M,4.90,-,-,-,-25.98%,6.39,3.03,-,-,-,-24.85%,-,-,-,-,9.18 - 27.95,-24.81%,1.75,-,-,-,-30.77%,-,9.04%,-,-,-,110.78%,1.98,-,-,7.80%,-,44.70,7.28% 17.23%,No,-,-77.20%,-,0.77,18.75,Yes,-,-,-,14.06K,19.35,-,-2.65%,-17.83%,-23.46%,"10,787",3.20%
 GOODN,2020-04-08 21:18:19.494842,-,-,-,-,-,4.26%,-,-,-,-,30.79M,-27.54%,-,-,-,11.37%,-,-29.97%,114.39M,-,-,-,-,-27.73%,-,-,-,-,-,-,-,-,-,-,10.56 - 27.52,-29.28%,1.66,-,-,-,-32.19%,-,8.90%,-,-,-,76.68%,2.18,-,-,7.80%,-,42.81,10.24% 16.43%,No,-,-77.20%,-,0.44,17.60,Yes,-,-,-,9.25K,18.66,-,-3.33%,-21.42%,-26.29%,"4,041",6.03%
 GOOG,2020-04-08 21:18:28.187188,S&P 500,24.62,49.16,5.66%,680.92M,9.47%,824.10B,20.54,58.91,-20.82%,617.96M,-5.48%,-,1.56,11.45,69.46%,0.61%,-13.82%,161.86B,5.09,0.40%,-,1.60,1.78%,292.65,4.14,19.30%,-,1546.75,1.09%,-,-,15.82%,-,1013.54 - 1532.11,-9.48%,-,-,-,-,-21.01%,-,-,-,-,-,19.41%,65.97,118899,-,17.30%,-,50.87,3.74% 5.52%,Yes,-,19.30%,-,0.84,1186.51,Yes,-,May 04 AMC,-,2.35M,1210.28,1.70,7.05%,-7.56%,-4.55%,"1,970,713",2.00%
 GOOGL,2020-04-08 21:18:38.039488,S&P 500,24.54,49.18,0.14%,703.78M,9.52%,849.46B,20.76,58.14,0.00%,620.79M,-5.35%,34.34B,5.11,11.27,82.10%,0.65%,-14.09%,161.86B,5.25,12.50%,0.04%,1.57,1.42%,292.45,4.13,20.03%,13.20%,1539.34,0.36%,170.05,7.10,4.80%,17.80%,1008.87 - 1530.74,-9.88%,-,27.43,19.90%,14.10%,-21.15%,1.05,-,3.40,19.70%,55.60%,19.64%,66.05,118899,3.40,17.30%,21.10%,50.82,3.79% 5.58%,Yes,0.00,20.20%,21.20%,0.78,1182.56,Yes,0.02,May 04 AMC,0.00%,2.56M,1207.00,1.80,7.08%,-7.64%,-4.78%,"2,008,221",2.07%
 GOSS,2020-04-08 21:18:47.235800,-,-,-2.92,1.50%,65.95M,17.54%,737.98M,-,-2.97,-4.07%,51.96M,-2.70%,-180.30M,-,-0.79,79.60%,9.71%,-21.97%,-,-,-47.60%,0.05%,11.25,-26.98%,5.75,1.95,6.90%,-37.60%,24.43,-35.36%,6.09,1.84,31.90%,-43.10%,7.52 - 27.15,-28.41%,-,-,-,-,-58.78%,-,-,11.10,-,-,48.80%,0.95,171,11.10,-,-,52.06,6.25% 11.12%,Yes,0.08,-69.30%,-,0.70,10.73,Yes,0.08,Mar 31 AMC,-,448.77K,11.19,1.70,13.22%,-9.25%,-36.62%,"315,824",4.29%
 GPAQ,2020-04-08 21:18:57.159256,-,-,-0.25,0.67%,11.18M,5.42%,119.63M,-,-,-84.19%,4.84M,0.66%,-1.00M,-,-,83.68%,0.05%,2.00%,-,-,-103.70%,-,0.05,3.48%,25.94,0.41,-,-0.80%,-,9.97%,0.00,-,-,-0.90%,10.15 - 10.81,1.04%,-,-,-,-,-0.98%,-,-,0.00,-,-,5.42%,0.14,-,0.00,-,-,54.63,0.45% 0.57%,No,0.00,-312.80%,-,0.06,10.72,No,0.03,-,-,45.43K,10.70,-,1.36%,1.16%,3.07%,"2,800",-0.19%
 GPAQU,2020-04-08 21:19:05.799537,-,-,-0.25,0.60%,4.04M,-4.94%,42.05M,-,-,-,-,-3.70%,-,-,-,17.40%,-,-0.76%,-,-,-,-,-,2.46%,1.15,9.04,-,-,-,-,-,-,-,-,10.22 - 11.79,-4.94%,-,-,-,-,-11.79%,-,-,-,-,-,1.76%,0.22,-,-,-,-,41.16,0.00% 1.69%,No,-,1140.20%,-,0.02,10.25,No,-,-,-,0.52K,10.40,-,-3.11%,-2.07%,0.30%,10,1.46%
 GPOR,2020-04-08 21:19:25.979438,-,-,-12.55,0.10%,155.60M,47.97%,93.36M,-,-0.62,0.00%,142.93M,17.65%,-2002.40M,-,-0.04,-,27.66%,-76.56%,1.35B,0.07,-608.70%,3.14%,6.11,-75.46%,8.23,0.07,-47.60%,-35.70%,1.70,-92.33%,0.04,15.30,-,-70.20%,0.35 - 8.12,-80.26%,-,0.13,-44.60%,-50.00%,-92.61%,1.59,-,0.70,14.90%,91.70%,71.43%,0.23,298,0.70,-32.40%,-,48.03,23.39% 57.08%,Yes,1.51,-,-,0.54,0.52,Yes,1.50,Feb 27 AMC,-,6.47M,0.60,3.50,-12.14%,-36.19%,-76.19%,"3,498,761",14.33%
 GPP,2020-04-08 21:19:35.289397,-,2.78,1.79,50.75%,25.35M,-18.76%,126.24M,2.60,1.92,0.00%,11.41M,-56.81%,41.50M,0.19,0.45,30.70%,0.36%,-65.44%,82.40M,1.53,-1.10%,0.01%,0.44,-62.24%,-3.21,-,1.86%,35.30%,15.67,-68.82%,0.01,420.81,15.00%,-56.70%,3.47 - 16.13,-63.97%,1.90,-,45.10%,84.80%,-69.13%,1.17,38.15%,0.10,45.00%,-,43.52%,1.07,-,0.10,-12.90%,59.80%,32.93,8.54% 22.73%,No,-,-13.10%,50.30%,1.43,5.12,Yes,-,May 11 AMC,105.90%,92.61K,4.98,2.00,-18.14%,-53.51%,-61.57%,"132,816",-2.73%
 GPRE,2020-04-08 21:19:44.921550,-,-,-4.53,13.30%,36.60M,8.72%,164.33M,-,-1.25,-12.28%,33.37M,-26.15%,-167.70M,-,-0.87,-,13.12%,-67.44%,2.42B,0.07,48.80%,0.12%,6.14,-56.60%,21.38,0.21,112.60%,-8.70%,19.50,-73.94%,6.72,0.67,15.00%,-20.00%,3.77 - 17.74,-70.90%,0.48,-,-25.60%,-9.20%,-74.69%,1.94,10.69%,0.80,-5.70%,1.40%,19.10%,0.97,820,1.20,22.70%,-5.90%,38.04,15.40% 19.80%,No,0.75,-192.60%,-6.90%,0.74,4.22,Yes,0.32,May 11 AMC,-,712.99K,4.49,1.80,-5.89%,-51.20%,-59.66%,"524,400",6.40%
 GPRO,2020-04-08 21:19:55.340135,-,-,-0.11,0.90%,160.09M,9.64%,437.05M,6.61,0.41,-1.29%,125.93M,-25.00%,-14.60M,-,-0.31,66.60%,22.38%,-38.24%,1.19B,0.37,87.10%,-0.01%,5.27,-20.64%,1.59,1.72,113.99%,-2.10%,3.92,-59.01%,1.03,2.65,10.00%,-7.70%,2.00 - 7.64,-37.10%,-,-,-16.10%,0.50%,-64.29%,1.08,-,1.20,-3.00%,35.20%,36.50%,0.30,926,1.60,40.00%,-0.20%,48.39,10.30% 12.99%,Yes,0.64,190.70%,-1.20%,0.64,2.55,Yes,0.64,May 06 AMC,-,5.35M,2.73,3.20,8.31%,-19.08%,-34.73%,"3,412,725",7.06%
 GRBK,2020-04-08 21:20:04.402509,-,6.82,1.16,4.30%,56.09M,6.90%,443.11M,4.76,1.66,1.02%,47.92M,-16.49%,58.70M,3.97,0.24,84.20%,1.10%,-32.54%,791.70M,0.56,13.90%,0.10%,3.86,-22.78%,10.37,0.76,11.41%,7.00%,13.50,-13.66%,0.59,13.31,1.72%,11.70%,5.66 - 13.08,-31.18%,-,-,-19.40%,5.90%,-39.60%,1.34,-,-,26.30%,21.40%,39.56%,0.87,460,-,20.90%,8.30%,48.99,11.16% 12.38%,Yes,0.48,19.50%,7.40%,0.90,7.19,Yes,0.48,Mar 03 AMC,0.00%,136.74K,7.90,2.00,11.69%,-19.51%,-22.84%,"123,651",9.87%
 GRFS,2020-04-08 21:20:14.044119,-,34.01,0.60,-,684.13M,4.94%,13.95B,13.07,1.56,-,-,-7.82%,-,3.01,0.30,53.88%,-,-16.43%,-,-,17.80%,-,1.44,2.93%,3.56,5.73,12.20%,-,26.75,3.66%,-,-,11.30%,-,13.40 - 25.73,-12.45%,0.44,-,2.78%,-,-20.75%,-,2.16%,-,-,-,52.16%,1.39,22244,-,11.30%,-,51.70,5.47% 8.06%,Yes,-,57.20%,-,0.35,20.00,Yes,-,Mar 26,-,1.25M,20.39,1.30,7.86%,-5.79%,-6.39%,"442,848",1.95%
 GRID,2020-04-08 21:20:23.814805,-,-,-,-,-,9.40%,-,-,-,-,-,-10.84%,-,-,-,-,-,-19.50%,-,-,-,-,-,-7.50%,-,-,-,-,-,-0.99%,-,-,-,-,35.96 - 61.62,-18.59%,0.52,-,-,-,-27.42%,-,1.16%,-,-,-,24.36%,2.34,-,-,-,-,49.88,2.66% 4.46%,No,-,-,-,0.69,43.70,Yes,-,-,-,4.72K,44.72,-,8.11%,-11.21%,-11.54%,"3,239",2.34%
 GRIF,2020-04-08 21:20:32.865454,-,50.34,0.71,1.80%,5.32M,12.14%,191.20M,-,-,0.00%,2.64M,-17.95%,3.70M,-,-,49.70%,0.52%,-7.61%,44.00M,4.35,653.40%,3.04%,2.58,-1.05%,17.88,2.01,-,1.40%,-,2.25%,1.30,27.71,-,3.90%,28.67 - 48.88,-9.13%,0.50,-,37.80%,4.10%,-26.47%,0.76,1.39%,0.40,12.70%,72.80%,25.35%,2.69,31,0.40,4.80%,21.90%,50.54,4.35% 7.59%,No,1.64,-,8.30%,1.35,35.37,Yes,1.57,May 14 BMO,62.10%,5.34K,35.94,-,4.73%,-7.80%,-6.16%,"7,209",1.61%
 GRIL,2020-04-08 21:20:42.697411,-,-,-0.55,66.40%,3.38M,0.00%,5.75M,-,-,-,3.16M,-44.26%,-5.90M,-,-,-,0.05%,-,5.10M,1.13,63.00%,-,0.01,-,-,-,-,-96.70%,-,-,0.59,2.87,-,130.30%,1.42 - 5.09,-55.96%,-,-,-,-,-66.60%,-,-,0.30,-,38.60%,19.72%,0.53,380,0.30,10.00%,-54.60%,-,14.70% 31.43%,No,-,-56.90%,-,0.09,1.73,Yes,-,-,-,233.21K,1.70,-,-22.74%,-40.73%,-40.73%,"20,597",-1.73%
 GRIN,2020-04-08 21:20:52.237342,-,-,-1.86,22.70%,21.99M,-8.86%,50.91M,-,-0.70,0.00%,15.41M,-40.34%,-35.40M,-,0.23,29.00%,0.04%,-65.99%,331.00M,0.15,-71.70%,-0.16%,0.24,-55.31%,13.67,0.17,38.60%,-,6.88,-55.99%,-,-,-,-,2.03 - 7.97,-64.33%,-,-,-,-7.30%,-70.95%,-,-,-,-,6.20%,14.32%,0.44,759,-,-15.60%,-10.50%,34.60,16.15% 17.31%,No,-,-137.00%,-10.70%,1.22,2.38,Yes,-,Feb 25 AMC,-,24.41K,2.32,2.00,-15.23%,-43.97%,-58.04%,"29,879",-2.73%
 GRMN,2020-04-08 21:21:01.160929,S&P 500,15.51,4.99,0.30%,195.75M,8.33%,15.14B,16.52,4.68,-75.62%,139.58M,-8.36%,952.50M,2.41,0.86,49.60%,2.27%,-20.25%,3.76B,4.03,36.40%,0.21%,2.93,-7.12%,25.21,3.07,3.67%,16.80%,94.20,-12.32%,7.17,10.79,6.43%,21.60%,61.04 - 105.58,-20.71%,2.44,92.79,21.60%,19.00%,-26.73%,1.05,3.15%,2.20,5.50%,59.50%,26.74%,4.98,15000,3.00,18.20%,25.20%,49.70,4.70% 6.64%,Yes,0.00,88.70%,25.30%,1.02,74.23,Yes,0.00,Feb 19 BMO,44.70%,1.08M,77.36,2.80,6.37%,-10.14%,-11.64%,"1,106,112",4.22%
 GROW,2020-04-08 21:22:06.431103,-,-,-0.22,0.80%,14.72M,1.46%,15.38M,-,-,0.00%,12.36M,-8.33%,-3.30M,-,-,31.70%,0.66%,-26.41%,3.60M,4.27,-610.80%,-,2.26,-48.54%,1.12,0.93,-,-16.60%,-,-8.72%,0.56,1.85,-,-18.40%,0.80 - 2.29,-27.43%,0.03,-,-36.60%,-9.60%,-54.37%,1.32,2.87%,8.00,-16.90%,-,30.62%,0.11,48,8.00,12.50%,-87.30%,51.76,13.24% 12.31%,Yes,0.00,76.50%,-99.70%,5.32,1.02,Yes,0.00,May 12 BMO,-,35.84K,1.04,-,9.94%,-8.27%,-33.29%,"190,696",2.45%
 GRPN,2020-04-08 21:22:16.009689,-,-,-0.04,1.30%,616.12M,4.35%,554.51M,17.31,0.05,-16.30%,438.95M,-8.13%,-25.00M,-,-0.03,67.40%,3.25%,-62.66%,2.22B,0.25,-125.00%,-0.08%,0.82,-66.60%,0.70,1.29,477.78%,-1.50%,1.77,-74.06%,-,-,10.82%,-6.70%,0.48 - 3.82,-62.34%,-,138.63,-1.40%,4.70%,-76.44%,1.74,-,1.00,-6.10%,53.50%,87.50%,0.16,6345,1.10,-23.50%,1.30%,42.12,13.32% 21.40%,Yes,0.58,67.40%,-1.00%,1.16,0.86,Yes,0.56,Feb 18 AMC,-,17.41M,0.90,3.00,12.71%,-44.14%,-64.65%,"20,174,353",4.65%
 GRTS,2020-04-08 21:22:25.400925,-,-,-2.80,10.07%,37.95M,18.10%,255.02M,-,-3.12,0.00%,33.25M,-4.55%,-94.40M,-,-0.73,78.60%,9.53%,-13.51%,4.40M,57.96,-26.80%,0.01%,19.48,-20.57%,3.74,1.80,-11.40%,-47.40%,22.14,-53.14%,3.37,2.00,-,-62.40%,5.42 - 15.70,-25.08%,-,-,-,-72.90%,-57.20%,-,-,6.70,-,-,23.99%,0.71,174,6.70,-18.20%,-,50.24,11.37% 12.08%,No,0.00,-31.90%,-,1.15,6.18,Yes,0.00,Mar 26 BMO,-,162.76K,6.72,1.90,12.24%,-14.18%,-24.59%,"186,902",8.74%
 GRTX,2020-04-08 21:22:35.053885,-,-,-2.40,14.50%,24.87M,12.80%,267.35M,-,-2.38,0.00%,21.08M,-4.36%,-59.10M,-,-0.70,68.60%,0.11%,-28.81%,-,-,-96.20%,0.04%,0.73,-,2.80,3.84,-2.10%,-61.90%,20.00,-,4.52,2.38,68.40%,76.40%,5.58 - 19.50,-18.31%,-,-,-,-,-44.87%,-,-,12.10,-,-,92.65%,1.46,32,12.10,-,-,52.78,11.32% 17.02%,No,0.62,-158.20%,-,0.24,10.57,Yes,0.62,-,-,32.53K,10.75,1.50,21.14%,-12.17%,-13.98%,"7,678",1.70%
 GRVY,2020-04-08 21:22:44.504999,-,4.52,6.40,59.30%,7.40M,-4.30%,213.86M,-,-,0.00%,2.83M,14.91%,44.40M,-,-,8.30%,1.43%,-14.17%,328.00M,0.65,136.10%,0.49%,1.12,-9.46%,13.57,2.13,-,30.10%,-,-53.01%,13.16,2.20,-,55.20%,21.49 - 96.50,-22.73%,-,-,29.90%,39.80%,-70.05%,-1.00,-,2.50,43.20%,24.10%,34.48%,2.42,249,2.50,75.50%,14.80%,53.56,6.41% 9.84%,No,0.00,41.80%,13.50%,0.34,28.12,Yes,0.00,May 11 BMO,0.00%,36.04K,28.90,-,9.85%,0.63%,-15.20%,"12,261",2.77%
 GRWG,2020-04-08 21:22:53.770945,-,68.70,0.05,7.50%,40.03M,10.42%,148.51M,11.78,0.32,-,26.82M,-15.49%,1.90M,3.44,0.03,31.80%,2.43%,-13.52%,79.70M,1.86,122.20%,2.15%,1.26,-4.87%,1.47,2.52,115.75%,3.10%,7.10,23.98%,0.32,11.42,20.00%,4.10%,2.53 - 6.78,-9.51%,-,-,36.10%,3.90%,-45.28%,1.84,-,1.70,131.40%,28.30%,46.64%,0.48,184,3.50,179.10%,2.80%,46.85,9.12% 14.83%,Yes,0.01,87.70%,2.40%,1.23,3.34,Yes,0.00,Mar 30 BMO,0.00%,518.15K,3.71,1.80,6.06%,-19.59%,-15.28%,"638,352",11.08%
 GSBC,2020-04-08 21:23:02.839998,-,7.75,5.14,10.00%,14.80M,7.71%,589.48M,9.59,4.15,-0.83%,10.99M,-10.84%,73.60M,1.29,1.06,47.60%,0.54%,-34.85%,235.00M,2.51,9.20%,0.10%,1.33,-26.50%,42.34,0.94,-1.21%,1.50%,48.00,-24.06%,15.78,2.52,6.00%,12.70%,32.23 - 63.41,-36.04%,1.36,12.96,10.70%,22.40%,-37.19%,1.19,3.41%,-,5.10%,-,23.58%,3.01,1191,-,4.60%,74.10%,46.74,5.60% 8.05%,Yes,0.17,2.90%,31.30%,1.28,38.50,Yes,0.17,Apr 20 AMC,25.10%,44.22K,39.83,3.00,5.30%,-17.32%,-28.71%,"56,393",3.45%
 GSHD,2020-04-08 21:23:12.619353,-,101.94,0.38,9.80%,38.51M,-4.99%,1.50B,48.55,0.80,-45.11%,13.99M,-18.88%,6.00M,2.04,0.09,99.80%,16.28%,-13.01%,77.50M,19.30,137.10%,0.24%,11.87,-15.40%,-0.59,-,63.93%,7.30%,52.50,32.33%,0.37,104.60,50.00%,10.50%,25.74 - 63.07,-8.40%,-,-,-,30.10%,-38.42%,-,-,-,-,-,50.89%,4.51,555,-,-6.10%,18.20%,37.40,8.11% 10.61%,Yes,-,-604.30%,4.60%,2.23,39.25,Yes,-,Mar 12 AMC,0.00%,191.87K,38.84,1.80,-10.68%,-22.35%,-16.22%,"427,718",-1.04%
 GSIT,2020-04-08 21:23:22.642917,-,-,-0.29,2.60%,21.55M,22.24%,169.38M,-,-0.33,-9.70%,16.76M,30.56%,-6.60M,-,-0.16,31.50%,0.53%,10.86%,47.50M,3.57,103.50%,0.01%,1.76,-1.87%,3.99,1.97,25.00%,-6.20%,8.00,-2.96%,3.17,2.48,10.00%,-7.00%,4.75 - 9.00,10.86%,-,282.31,15.20%,-0.30%,-12.67%,1.00,-,8.50,-2.50%,60.30%,65.47%,0.63,166,9.00,-32.00%,-15.50%,57.91,10.80% 10.58%,Yes,0.00,-301.30%,-13.90%,0.92,8.20,Yes,0.00,Apr 30 AMC,-,50.91K,7.86,-,22.08%,11.83%,1.45%,"46,620",-4.15%
 GSKY,2020-04-08 21:23:32.546763,-,7.52,0.49,4.60%,203.68M,1.65%,753.62M,6.18,0.60,0.00%,56.92M,-38.33%,32.00M,0.58,0.07,-,30.11%,-53.28%,529.60M,1.42,20.20%,0.00%,18.23,-44.40%,0.41,9.02,9.91%,3.60%,6.67,-72.35%,0.96,3.85,13.00%,176.30%,3.05 - 16.42,-58.43%,-,5.46,6.70%,31.20%,-77.47%,-,-,-,37.00%,68.60%,21.31%,0.59,1174,-,22.00%,22.80%,37.26,13.62% 15.09%,Yes,14.90,-75.20%,6.00%,1.16,3.20,Yes,14.90,Mar 02 AMC,0.00%,940.34K,3.70,3.20,-10.84%,-44.04%,-53.43%,"1,091,648",15.62%
 GSM,2020-04-08 21:23:41.824125,-,-,-2.05,82.53%,172.49M,7.43%,79.33M,11.50,0.04,0.00%,71.32M,-9.93%,-347.70M,-,-0.09,29.40%,3.70%,-48.33%,1.84B,0.04,-228.60%,-0.15%,5.62,-40.21%,3.54,0.13,111.10%,-,3.55,-79.74%,-,-,20.00%,-,0.35 - 2.48,-51.07%,0.24,-,-15.30%,-,-81.46%,2.56,52.19%,-,2.50%,26.80%,31.40%,0.09,4368,-,-39.60%,-,43.48,12.66% 21.97%,Yes,-,-,-,0.43,0.46,Yes,-,Mar 02 AMC,-,469.15K,0.46,2.00,7.21%,-34.25%,-53.21%,"203,551",0.83%
 GSUM,2020-04-08 21:24:13.825938,-,-,-2.35,5.30%,35.88M,-18.97%,16.86M,-,-,0.00%,26.87M,-44.71%,-76.90M,-,-,30.20%,2.81%,-65.94%,41.60M,0.41,-114.00%,-,12.14,-72.67%,-1.07,-,-,-,19.83,-86.05%,0.17,2.81,-,-,0.24 - 3.80,-61.48%,-,-,-56.90%,-182.10%,-87.63%,2.39,-,0.70,47.10%,67.00%,98.31%,0.11,1192,0.70,-25.30%,-,33.34,10.97% 27.70%,Yes,-,41.60%,-,2.37,0.46,Yes,-,Apr 22 AMC,-,62.23K,0.47,-,-23.12%,-46.26%,-73.65%,"147,418",2.62%
 GT,2020-04-08 21:24:23.365426,-,-,-1.34,0.30%,248.66M,21.97%,1.73B,4.76,1.46,0.07%,232.03M,-9.81%,-311.00M,-,0.12,87.80%,8.46%,-53.70%,14.75B,0.12,-145.50%,0.03%,3.23,-47.54%,18.67,0.37,50.31%,-1.70%,12.56,-63.66%,3.65,1.90,2.41%,-6.60%,4.09 - 20.70,-55.38%,0.64,5.97,-16.60%,-0.20%,-66.47%,2.00,9.22%,0.60,-4.10%,21.30%,69.68%,0.76,63000,1.10,-4.20%,3.10%,48.48,10.05% 13.48%,Yes,1.30,-476.90%,-2.10%,1.04,6.35,Yes,1.09,May 12 BMO,-,6.08M,6.94,2.50,17.15%,-23.84%,-47.30%,"6,337,971",9.29%
 GTEC,2020-04-08 21:24:32.641045,-,-,-0.59,16.27%,6.38M,-25.43%,13.84M,-,-,0.00%,4.42M,44.67%,-1.20M,-,-,2.60%,0.46%,-55.45%,52.75M,0.26,-,-,1.57,-79.03%,-,-,-,-,-,-77.63%,-,-,-,-,1.12 - 10.58,-56.60%,-,1.73,-,-,-79.49%,-,-,1.40,-,-,93.75%,0.58,294,1.40,-0.10%,-,48.60,21.57% 35.79%,No,0.00,-89.50%,-,0.24,2.11,Yes,0.00,-,-,12.91K,2.17,-,10.14%,-18.73%,-68.96%,"3,072",2.82%
 GTHX,2020-04-08 21:24:42.455386,-,-,-3.27,0.20%,40.44M,16.55%,461.42M,-,-4.48,0.00%,33.62M,-31.55%,-122.40M,-,-0.98,98.20%,10.30%,-56.55%,-,-,-27.60%,0.03%,10.83,-47.22%,6.80,1.68,-29.50%,-38.10%,65.60,-33.82%,6.66,1.71,-,-41.00%,8.80 - 41.80,-56.83%,-,-,-65.60%,-,-72.70%,-,-,13.70,-,-,29.66%,1.53,104,13.70,-,-,44.58,11.87% 15.63%,Yes,0.00,-45.80%,-,1.03,10.61,Yes,0.00,Feb 26 AMC,-,319.63K,11.41,1.60,3.49%,-27.54%,-53.13%,"328,287",7.54%
 GTIM,2020-04-08 21:24:52.352276,-,-,-0.39,17.60%,13.83M,-15.09%,6.22M,22.50,0.02,4.86%,9.56M,-61.06%,-4.90M,-,-0.02,12.40%,0.42%,-71.52%,116.20M,0.05,-394.50%,-,0.67,-73.99%,2.11,0.21,150.00%,-6.70%,5.00,-80.26%,0.24,1.89,30.00%,-16.90%,0.45 - 2.37,-71.70%,-,4.45,-27.50%,-8.70%,-81.01%,1.33,-,0.40,31.90%,19.10%,0.00%,0.15,323,0.40,21.30%,-2.70%,28.92,13.97% 28.95%,Yes,0.00,23.40%,-4.20%,2.08,0.49,Yes,0.54,May 12 AMC,-,59.03K,0.45,2.00,-36.07%,-61.56%,-71.97%,"122,652",-8.14%
 GTLS,2020-04-08 21:25:01.999517,-,21.11,1.30,0.50%,40.51M,3.67%,1.11B,5.53,4.95,5.19%,35.39M,-17.75%,46.40M,0.51,0.61,-,10.83%,-60.37%,1.30B,0.85,-15.00%,0.51%,5.71,-51.31%,34.29,0.80,20.31%,2.10%,74.21,-68.15%,2.94,9.32,41.68%,4.10%,15.00 - 93.75,-59.43%,-,11.35,-13.10%,3.70%,-70.79%,1.63,-,1.20,1.70%,26.90%,82.53%,4.31,5743,1.80,18.00%,6.20%,43.40,13.19% 17.49%,Yes,0.63,-22.10%,3.60%,1.20,25.07,Yes,0.62,Apr 23 BMO,0.00%,671.67K,27.38,2.00,12.42%,-41.16%,-54.12%,"806,271",9.21%
 GTYH,2020-04-08 21:25:11.037516,-,-,-1.94,4.00%,51.79M,19.73%,232.54M,-,-0.05,0.00%,46.74M,7.42%,-97.60M,-,-0.07,37.40%,4.51%,-26.63%,36.40M,6.39,-,-0.02%,17.18,-18.36%,6.20,0.72,80.00%,-20.20%,7.25,-48.92%,0.16,27.68,-,-27.80%,3.31 - 10.09,-23.77%,-,-,-,-31.80%,-55.50%,0.35,-,0.50,-,62.80%,35.85%,0.60,108,0.50,30.60%,-,47.64,12.61% 16.21%,No,0.00,-600.70%,-,0.70,4.53,Yes,0.00,Mar 12 BMO,-,122.79K,4.49,2.50,4.85%,-14.85%,-22.66%,"86,462",-0.88%
 GULF,2020-04-08 21:25:19.978248,-,-,-,-,-,5.43%,-,-,-,-,-,-1.03%,-,-,-,-,-,-20.66%,-,-,-,-,-,-19.51%,-,-,-,-,-,-24.12%,-,-,-,-,12.84 - 21.84,-21.18%,0.53,-,-,-,-27.56%,-,3.35%,-,-,-,23.21%,0.79,-,-,-,-,50.02,2.62% 4.47%,No,-,-,-,1.19,15.56,Yes,-,-,-,6.11K,15.82,-,6.45%,-8.43%,-18.20%,"7,246",1.67%
 GURE,2020-04-08 21:25:29.392714,-,-,-6.10,42.88%,9.33M,4.54%,32.31M,-,-,0.00%,5.44M,-8.15%,-57.40M,-,-,6.50%,0.36%,-5.83%,10.60M,3.05,-980.30%,-,0.45,0.37%,27.96,0.12,-,-18.70%,14.50,-44.59%,11.28,0.31,19.00%,-20.10%,2.25 - 7.40,35.77%,-,-,-36.70%,-23.80%,-53.20%,0.69,-,9.50,-53.40%,48.80%,53.87%,0.30,699,9.60,1225.80%,-,50.20,5.50% 9.07%,Yes,0.01,34.30%,-,0.17,3.47,Yes,0.01,May 11 AMC,-,44.30K,3.46,-,7.27%,-2.93%,-4.65%,"7,370",-0.11%
 GVP,2020-04-08 21:25:38.901501,-,-,-0.24,1.70%,19.89M,11.69%,20.88M,10.50,0.10,0.00%,16.40M,-11.76%,-4.80M,-,-0.01,55.30%,0.00%,-38.24%,88.50M,0.24,-108.70%,-,0.02,-37.50%,1.33,0.79,483.30%,-7.20%,5.00,-62.09%,0.43,2.43,-,-17.10%,0.86 - 2.86,-36.36%,-,8.70,50.10%,0.60%,-63.29%,1.61,-,1.50,14.20%,24.60%,22.09%,0.11,335,1.50,-8.30%,-4.10%,50.14,4.79% 11.63%,No,0.75,-114.00%,-5.40%,0.02,1.00,Yes,0.57,Mar 30 AMC,-,22.67K,1.05,2.00,5.54%,-11.48%,-33.58%,453,5.00%
